player_id,team_id,player_name,primary_role,api_position
5,50,M. Akanji,CB,Defender
18,66,J. Sancho,ST,Attacker
22,44,J. Bruun Larsen,ST,Attacker
44,50,Rodri,CM,Midfielder
95,49,B. Badiashile,CB,Defender
131,36,Jorge Cuenca,CB,Defender
138,48,J. Todibo,CB,Defender
164,47,B. Davies,CB,Defender
169,34,K. Trippier,CB,Defender
171,48,K. Walker-Peters,CB,Defender
247,40,C. Gakpo,CM,Midfielder
249,66,D. Malen,ST,Attacker
250,63,J. Piroe,ST,Attacker
253,48,A. Areola,GK,Goalkeeper
280,40,Alisson Becker,GK,Goalkeeper
281,55,C. Kelleher,GK,Goalkeeper
284,40,J. Gomez,CB,Defender
285,39,K. Hoever,CM,Midfielder
289,40,A. Robertson,CB,Defender
290,40,V. van Dijk,CB,Defender
292,55,J. Henderson,CM,Midfielder
293,40,C. Jones,CM,Midfielder
296,51,J. Milner,CM,Midfielder
306,40,Mohamed Salah,CM,Midfielder
526,33,A. Onana,GK,Goalkeeper
532,33,M. de Ligt,CB,Defender
537,51,J. Veltman,CB,Defender
542,40,R. Gravenberch,CM,Midfielder
545,33,N. Mazraoui,CB,Defender
567,50,Rúben Dias,CB,Defender
575,44,Florentino,CM,Midfielder
617,50,Ederson,GK,Goalkeeper
626,50,J. Stones,CB,Defender
627,44,K. Walker,CB,Defender
631,50,P. Foden,CM,Midfielder
633,50,İ. Gündoğan,CM,Midfielder
636,50,Bernardo Silva,CM,Midfielder
641,65,O. Zinchenko,CB,Defender
643,42,Gabriel Jesus,ST,Attacker
657,36,K. Tete,CB,Defender
671,746,B. Traoré,ST,Attacker
697,47,M. Solomon,ST,Attacker
723,34,Joelinton,CM,Midfielder
727,55,R. Nelson,ST,Attacker
747,33,Casemiro,CM,Midfielder
792,35,J. Kluivert,ST,Attacker
833,63,J. Bijol,CB,Defender
863,47,R. Bentancur,CM,Midfielder
886,33,Diogo Dalot,CM,Midfielder
889,66,V. Lindelöf,CB,Defender
891,33,L. Shaw,CB,Defender
895,45,J. Garner,CB,Defender
899,36,Andreas Pereira,CM,Midfielder
978,42,K. Havertz,ST,Attacker
1096,40,D. Szoboszlai,CM,Midfielder
1100,50,E. Haaland,ST,Attacker
1119,55,K. Ajer,CB,Defender
1125,35,R. Christie,CM,Midfielder
1135,52,O. Édouard,ST,Attacker
1145,40,I. Konaté,CB,Defender
1146,746,N. Mukiele,CB,Defender
1150,35,T. Adams,CM,Midfielder
1161,36,E. Smith Rowe,CM,Midfielder
1165,33,Matheus Cunha,ST,Attacker
1243,48,T. Souček,CM,Midfielder
1361,51,F. Kadıoğlu,CB,Defender
1408,63,S. Bornauw,CB,Defender
1422,50,J. Doku,ST,Attacker
1438,36,B. Leno,GK,Goalkeeper
1445,48,K. Mavropanos,CB,Defender
1455,36,A. Iwobi,CM,Midfielder
1460,42,B. Saka,ST,Attacker
1463,34,J. Willock,CM,Midfielder
1464,746,G. Xhaka,CM,Midfielder
1468,52,E. Nketiah,ST,Attacker
1469,51,D. Welbeck,ST,Attacker
1485,33,Bruno Fernandes,CM,Midfielder
1590,39,José Sá,GK,Goalkeeper
1622,50,G. Donnarumma,GK,Goalkeeper
1646,48,Lucas Paquetá,ST,Attacker
1696,36,S. Chukwueze,ST,Attacker
1746,44,J. Worrall,CB,Defender
1864,49,Pedro Neto,CM,Midfielder
1904,66,B. Kamara,CM,Midfielder
1934,36,S. Berge,CM,Midfielder
1946,42,L. Trossard,ST,Attacker
2032,39,J. Strand Larsen,ST,Attacker
2165,45,V. Mykolenko,CB,Defender
2218,52,I. Sarr,ST,Attacker
2273,42,Kepa,GK,Goalkeeper
2279,63,E. Ampadu,CM,Midfielder
2287,66,R. Barkley,CM,Midfielder
2291,50,M. Kovačić,CM,Midfielder
2298,65,C. Hudson-Odoi,CM,Midfielder
2413,47,Richarlison,ST,Attacker
2467,33,Lisandro Martínez,CB,Defender
2476,48,G. Rodríguez,CM,Midfielder
2490,52,J. Lerma,CM,Midfielder
2601,52,D. Kamada,ST,Attacker
2724,66,L. Digne,CB,Defender
2729,36,J. Andersen,CB,Defender
2734,35,P. Billing,CM,Midfielder
2771,65,O. Aina,CB,Defender
2806,34,F. Schär,CB,Defender
2817,65,N. Milenković,CB,Defender
2823,36,S. Lukić,CM,Midfielder
2855,34,E. Krafth,CB,Defender
2864,40,A. Isak,ST,Attacker
2869,48,E. Álvarez,CM,Midfielder
2887,36,R. Jiménez,ST,Attacker
2919,65,M. Sels,GK,Goalkeeper
2920,36,T. Castagne,CB,Defender
2926,66,Y. Tielemans,CM,Midfielder
2931,33,T. Heaton,GK,Goalkeeper
2932,45,J. Pickford,GK,Goalkeeper
2934,45,M. Keane,CB,Defender
2935,33,H. Maguire,CB,Defender
2936,45,J. Tarkowski,CB,Defender
2937,42,D. Rice,CM,Midfielder
2938,48,J. Ward-Prowse,CM,Midfielder
2939,48,C. Wilson,ST,Attacker
2990,45,I. Gueye,CM,Midfielder
2997,48,Ł. Fabiański,GK,Goalkeeper
3080,39,M. Munetsi,ST,Attacker
5996,49,E. Fernández,CM,Midfielder
