fixture_id,team_id,player_id,position_string,grid_x,grid_y,role,role_profile,side,band
1378969,40,280,G,1.0,1.0,UNK,unknown,L,deep
1378969,40,152654,D,2.0,4.0,UNK,unknown,L,high
1378969,40,1145,D,2.0,3.0,UNK,unknown,L,mid
1378969,40,290,D,2.0,2.0,UNK,unknown,L,deep
1378969,40,206254,D,2.0,1.0,UNK,unknown,L,deep
1378969,40,1096,M,3.0,2.0,UNK,unknown,C,deep
1378969,40,6716,M,3.0,1.0,UNK,unknown,C,deep
1378969,40,306,M,4.0,3.0,UNK,unknown,R,mid
1378969,40,203224,M,4.0,2.0,UNK,unknown,R,deep
1378969,40,247,M,4.0,1.0,UNK,unknown,R,deep
1378969,40,174565,F,5.0,1.0,UNK,unknown,R,deep
1378969,40,24760,G,,,UNK,unknown,UNK,UNK
1378969,40,284,D,,,UNK,unknown,UNK,UNK
1378969,40,8500,M,,,UNK,unknown,UNK,UNK
1378969,40,30410,F,,,UNK,unknown,UNK,UNK
1378969,40,293,M,,,UNK,unknown,UNK,UNK
1378969,40,19035,M,,,UNK,unknown,UNK,UNK
1378969,40,289,D,,,UNK,unknown,UNK,UNK
1378969,40,397997,M,,,UNK,unknown,UNK,UNK
1378969,40,452685,F,,,UNK,unknown,UNK,UNK
1378969,35,118307,G,1.0,1.0,UNK,unknown,L,deep
1378969,35,18869,D,2.0,4.0,UNK,unknown,L,high
1378969,35,22136,D,2.0,3.0,UNK,unknown,L,mid
1378969,35,6610,D,2.0,2.0,UNK,unknown,L,deep
1378969,35,162267,D,2.0,1.0,UNK,unknown,L,deep
1378969,35,1150,M,3.0,1.0,UNK,unknown,C,deep
1378969,35,19281,M,4.0,4.0,UNK,unknown,R,high
1378969,35,304853,M,4.0,3.0,UNK,unknown,R,mid
1378969,35,19245,M,4.0,2.0,UNK,unknown,R,deep
1378969,35,18870,M,4.0,1.0,UNK,unknown,R,deep
1378969,35,152856,F,5.0,1.0,UNK,unknown,R,deep
1378969,35,151756,G,,,UNK,unknown,UNK,UNK
1378969,35,51051,D,,,UNK,unknown,UNK,UNK
1378969,35,363333,D,,,UNK,unknown,UNK,UNK
1378969,35,368030,F,,,UNK,unknown,UNK,UNK
1378969,35,20093,D,,,UNK,unknown,UNK,UNK
1378969,35,31057,M,,,UNK,unknown,UNK,UNK
1378969,35,2734,M,,,UNK,unknown,UNK,UNK
1378969,35,402434,F,,,UNK,unknown,UNK,UNK
1378969,35,402432,M,,,UNK,unknown,UNK,UNK
1378970,66,36878,G,1.0,1.0,UNK,unknown,L,deep
1378970,66,19298,D,2.0,4.0,UNK,unknown,L,high
1378970,66,19354,D,2.0,3.0,UNK,unknown,L,mid
1378970,66,19179,D,2.0,2.0,UNK,unknown,L,deep
1378970,66,2724,D,2.0,1.0,UNK,unknown,L,deep
1378970,66,1904,M,3.0,2.0,UNK,unknown,C,deep
1378970,66,162714,M,3.0,1.0,UNK,unknown,C,deep
1378970,66,19191,M,4.0,3.0,UNK,unknown,R,mid
1378970,66,2926,M,4.0,2.0,UNK,unknown,R,deep
1378970,66,19170,M,4.0,1.0,UNK,unknown,R,deep
1378970,66,19366,F,5.0,1.0,UNK,unknown,R,deep
1378970,66,284390,G,,,UNK,unknown,UNK,UNK
1378970,66,46815,D,,,UNK,unknown,UNK,UNK
1378970,66,138816,D,,,UNK,unknown,UNK,UNK
1378970,66,284457,D,,,UNK,unknown,UNK,UNK
1378970,66,19071,M,,,UNK,unknown,UNK,UNK
1378970,66,249,F,,,UNK,unknown,UNK,UNK
1378970,66,360268,M,,,UNK,unknown,UNK,UNK
1378970,66,137303,F,,,UNK,unknown,UNK,UNK
1378970,66,162173,F,,,UNK,unknown,UNK,UNK
1378970,34,18911,G,1.0,1.0,UNK,unknown,L,deep
1378970,34,169,D,2.0,4.0,UNK,unknown,L,high
1378970,34,2806,D,2.0,3.0,UNK,unknown,L,mid
1378970,34,18961,D,2.0,2.0,UNK,unknown,L,deep
1378970,34,158694,D,2.0,1.0,UNK,unknown,L,deep
1378970,34,10135,M,3.0,3.0,UNK,unknown,C,mid
1378970,34,31146,M,3.0,2.0,UNK,unknown,C,deep
1378970,34,723,M,3.0,1.0,UNK,unknown,C,deep
1378970,34,153430,F,4.0,3.0,UNK,unknown,R,mid
1378970,34,138787,F,4.0,2.0,UNK,unknown,R,deep
1378970,34,18778,F,4.0,1.0,UNK,unknown,R,deep
1378970,34,20355,G,,,UNK,unknown,UNK,UNK
1378970,34,284492,D,,,UNK,unknown,UNK,UNK
1378970,34,38734,D,,,UNK,unknown,UNK,UNK
1378970,34,163189,D,,,UNK,unknown,UNK,UNK
1378970,34,2855,D,,,UNK,unknown,UNK,UNK
